frame,x,y,r,score
13560,941,671,45,3349.7391059886427
13561,941,670,44,3396.0300477633955
13562,941,670,44,3452.4008844034224
13563,946,670,47,3400.121198193765
13564,946,670,47,3388.975551282169
13565,946,670,47,3077.0265587503504
13566,947,667,47,3101.5847069519605
13567,947,666,47,2916.0805103365683
13568,947,667,47,2804.4629264850455
13569,947,667,47,2686.315523132966
13570,950,663,48,2984.7864337685623
13571,950,663,48,2667.878369238276
13572,950,663,48,2891.1717683881707
13573,952,662,47,3332.4331640594096
13574,952,661,47,3150.1807163399053
13575,952,662,47,3285.5244027961025
13576,953,660,47,3485.2425520962033
13577,952,658,47,3391.3392235759147
13578,952,658,47,3229.09145022058
13579,952,658,47,3190.8240584800665
13580,954,665,52,2933.4283294122124
13581,954,665,52,2932.2595164625964
13582,954,665,52,2863.1343383899725
13583,956,651,46,3496.5929946284173
13584,956,651,46,3420.290573959016
13585,956,651,46,3387.347755081738
13586,957,648,46,2835.2458439609118
13587,957,648,46,2760.048893326734
13588,957,648,46,2804.656327763422
13589,957,648,46,2781.9846795286544
13590,958,648,46,3002.691472323561
13591,958,648,46,2924.6551806335524
13592,958,648,46,2930.560317790638
13593,959,647,45,3197.476314898743
13594,959,647,45,3062.525947151072
13595,959,647,45,3047.4834222584827
13596,956,652,52,2657.540036427689
13597,956,652,52,2622.978805914576
13598,956,652,52,2517.97295060216
13599,956,652,52,2410.916469061526
13600,956,649,53,2680.5386248443438
13601,956,649,53,2675.6259653616817
13602,956,649,53,2651.6733814049053
13603,958,647,54,3293.962933482804
13604,958,647,54,3293.962933482804
13605,958,647,54,3358.3443623019584
13606,972,648,59,2973.013321131017
13607,972,648,59,2884.921356640777
13608,972,648,59,2884.921356640777
13609,972,648,59,2414.3214355856667
13610,974,644,59,2233.4956687295094
13611,974,644,59,2185.7884973767787
13612,974,644,59,2204.007951678683
13613,975,643,58,2404.940591922356
13614,975,643,58,2404.940591922356
13615,967,628,44,3073.471836997276
13616,976,641,58,2152.3712798615916
13617,976,641,58,2122.874845990384
13618,976,641,58,2125.5479305264857
13619,976,641,58,1836.6170934456034
13620,968,629,45,2964.076101914288
13621,968,629,45,2731.615124699489
13622,968,629,45,2718.0851218827825
13623,976,638,56,2500.7254268157017
13624,976,638,56,2484.9012202197637
13625,976,638,56,2390.5264386225076
13626,970,628,47,2445.9022146440866
13627,979,633,57,1837.4393466403199
13628,970,628,47,2407.9976455526275
13629,970,628,47,2260.4648676910247
13630,980,631,55,2088.0149601788657
13631,980,631,55,2015.7992720071315
13632,980,631,55,1966.720391219916
13633,975,621,45,3093.9230360933357
13634,975,621,45,3053.437426402115
13635,975,621,45,2956.4175822410098
13636,976,620,44,3415.0390625953746
13637,977,619,45,3293.7003453516722
13638,977,617,44,2808.720778698981
13639,977,617,44,2786.7347905965935
13640,979,613,44,3392.2632501085986
13641,978,612,44,3210.102169568288
13642,978,612,44,3097.14978883241
13643,979,610,44,3148.4391095545793
13644,979,610,44,3134.2649503544453
13645,979,610,44,3081.396655622135
13646,982,611,43,3177.6832510362265
13647,982,612,43,3050.1117991684687
13648,982,612,43,3010.1248124371155
